Pubchem_CID,Inchikey,Targets ,Canonical_smiles,
314,IERHLVCPSMICTF-UHFFFAOYSA-N,POLL,P(OCC1OC(N2C=CC(=NC2=O)N)C(O)C1O)(O)(O)=O,
314,IERHLVCPSMICTF-UHFFFAOYSA-N,RNASE1,P(OCC1OC(N2C=CC(=NC2=O)N)C(O)C1O)(O)(O)=O,
314,IERHLVCPSMICTF-UHFFFAOYSA-N,ST3GAL2,P(OCC1OC(N2C=CC(=NC2=O)N)C(O)C1O)(O)(O)=O,
314,IERHLVCPSMICTF-UHFFFAOYSA-N,ST6GAL1,P(OCC1OC(N2C=CC(=NC2=O)N)C(O)C1O)(O)(O)=O,
314,IERHLVCPSMICTF-UHFFFAOYSA-N,TOP1,P(OCC1OC(N2C=CC(=NC2=O)N)C(O)C1O)(O)(O)=O,
314,IERHLVCPSMICTF-UHFFFAOYSA-N,UCK2,P(OCC1OC(N2C=CC(=NC2=O)N)C(O)C1O)(O)(O)=O,
316,TXCIAUNLDRJGJZ-UHFFFAOYSA-N,CMAS,P(OC1(OC(C(O)C(O)CO)C(NC(=O)C)C(O)C1)C(O)=O)(OCC1OC(N2C=CC(=NC2=O)N)C(O)C1O)(O)=O,
317,RGJOEKWQDUBAIZ-UHFFFAOYSA-N,AASDHPPT,SCCNC(=O)CCNC(=O)C(O)C(COP(OP(OCC1OC(n2c3ncnc(N)c3nc2)C(O)C1OP(O)(O)=O)(O)=O)(O)=O)(C)C,
317,RGJOEKWQDUBAIZ-UHFFFAOYSA-N,ACAT1,SCCNC(=O)CCNC(=O)C(O)C(COP(OP(OCC1OC(n2c3ncnc(N)c3nc2)C(O)C1OP(O)(O)=O)(O)=O)(O)=O)(C)C,
317,RGJOEKWQDUBAIZ-UHFFFAOYSA-N,ACAT2,SCCNC(=O)CCNC(=O)C(O)C(COP(OP(OCC1OC(n2c3ncnc(N)c3nc2)C(O)C1OP(O)(O)=O)(O)=O)(O)=O)(C)C,
317,RGJOEKWQDUBAIZ-UHFFFAOYSA-N,ACBD4,SCCNC(=O)CCNC(=O)C(O)C(COP(OP(OCC1OC(n2c3ncnc(N)c3nc2)C(O)C1OP(O)(O)=O)(O)=O)(O)=O)(C)C,
317,RGJOEKWQDUBAIZ-UHFFFAOYSA-N,ACBD5,SCCNC(=O)CCNC(=O)C(O)C(COP(OP(OCC1OC(n2c3ncnc(N)c3nc2)C(O)C1OP(O)(O)=O)(O)=O)(O)=O)(C)C,
317,RGJOEKWQDUBAIZ-UHFFFAOYSA-N,ACBD7,SCCNC(=O)CCNC(=O)C(O)C(COP(OP(OCC1OC(n2c3ncnc(N)c3nc2)C(O)C1OP(O)(O)=O)(O)=O)(O)=O)(C)C,
317,RGJOEKWQDUBAIZ-UHFFFAOYSA-N,ACLY,SCCNC(=O)CCNC(=O)C(O)C(COP(OP(OCC1OC(n2c3ncnc(N)c3nc2)C(O)C1OP(O)(O)=O)(O)=O)(O)=O)(C)C,
317,RGJOEKWQDUBAIZ-UHFFFAOYSA-N,ACOT12,SCCNC(=O)CCNC(=O)C(O)C(COP(OP(OCC1OC(n2c3ncnc(N)c3nc2)C(O)C1OP(O)(O)=O)(O)=O)(O)=O)(C)C,
317,RGJOEKWQDUBAIZ-UHFFFAOYSA-N,ACOT13,SCCNC(=O)CCNC(=O)C(O)C(COP(OP(OCC1OC(n2c3ncnc(N)c3nc2)C(O)C1OP(O)(O)=O)(O)=O)(O)=O)(C)C,
317,RGJOEKWQDUBAIZ-UHFFFAOYSA-N,ACOT7,SCCNC(=O)CCNC(=O)C(O)C(COP(OP(OCC1OC(n2c3ncnc(N)c3nc2)C(O)C1OP(O)(O)=O)(O)=O)(O)=O)(C)C,
317,RGJOEKWQDUBAIZ-UHFFFAOYSA-N,ACSM2A,SCCNC(=O)CCNC(=O)C(O)C(COP(OP(OCC1OC(n2c3ncnc(N)c3nc2)C(O)C1OP(O)(O)=O)(O)=O)(O)=O)(C)C,
317,RGJOEKWQDUBAIZ-UHFFFAOYSA-N,CES1,SCCNC(=O)CCNC(=O)C(O)C(COP(OP(OCC1OC(n2c3ncnc(N)c3nc2)C(O)C1OP(O)(O)=O)(O)=O)(O)=O)(C)C,
317,RGJOEKWQDUBAIZ-UHFFFAOYSA-N,CHAT,SCCNC(=O)CCNC(=O)C(O)C(COP(OP(OCC1OC(n2c3ncnc(N)c3nc2)C(O)C1OP(O)(O)=O)(O)=O)(O)=O)(C)C,
317,RGJOEKWQDUBAIZ-UHFFFAOYSA-N,CPT2,SCCNC(=O)CCNC(=O)C(O)C(COP(OP(OCC1OC(n2c3ncnc(N)c3nc2)C(O)C1OP(O)(O)=O)(O)=O)(O)=O)(C)C,
317,RGJOEKWQDUBAIZ-UHFFFAOYSA-N,CRAT,SCCNC(=O)CCNC(=O)C(O)C(COP(OP(OCC1OC(n2c3ncnc(N)c3nc2)C(O)C1OP(O)(O)=O)(O)=O)(O)=O)(C)C,
317,RGJOEKWQDUBAIZ-UHFFFAOYSA-N,CS,SCCNC(=O)CCNC(=O)C(O)C(COP(OP(OCC1OC(n2c3ncnc(N)c3nc2)C(O)C1OP(O)(O)=O)(O)=O)(O)=O)(C)C,
317,RGJOEKWQDUBAIZ-UHFFFAOYSA-N,DBT,SCCNC(=O)CCNC(=O)C(O)C(COP(OP(OCC1OC(n2c3ncnc(N)c3nc2)C(O)C1OP(O)(O)=O)(O)=O)(O)=O)(C)C,
317,RGJOEKWQDUBAIZ-UHFFFAOYSA-N,DECR2,SCCNC(=O)CCNC(=O)C(O)C(COP(OP(OCC1OC(n2c3ncnc(N)c3nc2)C(O)C1OP(O)(O)=O)(O)=O)(O)=O)(C)C,
317,RGJOEKWQDUBAIZ-UHFFFAOYSA-N,EHHADH,SCCNC(=O)CCNC(=O)C(O)C(COP(OP(OCC1OC(n2c3ncnc(N)c3nc2)C(O)C1OP(O)(O)=O)(O)=O)(O)=O)(C)C,
317,RGJOEKWQDUBAIZ-UHFFFAOYSA-N,EP300,SCCNC(=O)CCNC(=O)C(O)C(COP(OP(OCC1OC(n2c3ncnc(N)c3nc2)C(O)C1OP(O)(O)=O)(O)=O)(O)=O)(C)C,
317,RGJOEKWQDUBAIZ-UHFFFAOYSA-N,FASN,SCCNC(=O)CCNC(=O)C(O)C(COP(OP(OCC1OC(n2c3ncnc(N)c3nc2)C(O)C1OP(O)(O)=O)(O)=O)(O)=O)(C)C,
317,RGJOEKWQDUBAIZ-UHFFFAOYSA-N,GNPNAT1,SCCNC(=O)CCNC(=O)C(O)C(COP(OP(OCC1OC(n2c3ncnc(N)c3nc2)C(O)C1OP(O)(O)=O)(O)=O)(O)=O)(C)C,
317,RGJOEKWQDUBAIZ-UHFFFAOYSA-N,HADHA,SCCNC(=O)CCNC(=O)C(O)C(COP(OP(OCC1OC(n2c3ncnc(N)c3nc2)C(O)C1OP(O)(O)=O)(O)=O)(O)=O)(C)C,
317,RGJOEKWQDUBAIZ-UHFFFAOYSA-N,HAT1,SCCNC(=O)CCNC(=O)C(O)C(COP(OP(OCC1OC(n2c3ncnc(N)c3nc2)C(O)C1OP(O)(O)=O)(O)=O)(O)=O)(C)C,
317,RGJOEKWQDUBAIZ-UHFFFAOYSA-N,HMGCR,SCCNC(=O)CCNC(=O)C(O)C(COP(OP(OCC1OC(n2c3ncnc(N)c3nc2)C(O)C1OP(O)(O)=O)(O)=O)(O)=O)(C)C,
317,RGJOEKWQDUBAIZ-UHFFFAOYSA-N,HMGCS1,SCCNC(=O)CCNC(=O)C(O)C(COP(OP(OCC1OC(n2c3ncnc(N)c3nc2)C(O)C1OP(O)(O)=O)(O)=O)(O)=O)(C)C,
317,RGJOEKWQDUBAIZ-UHFFFAOYSA-N,KAT2B,SCCNC(=O)CCNC(=O)C(O)C(COP(OP(OCC1OC(n2c3ncnc(N)c3nc2)C(O)C1OP(O)(O)=O)(O)=O)(O)=O)(C)C,
317,RGJOEKWQDUBAIZ-UHFFFAOYSA-N,KAT8,SCCNC(=O)CCNC(=O)C(O)C(COP(OP(OCC1OC(n2c3ncnc(N)c3nc2)C(O)C1OP(O)(O)=O)(O)=O)(O)=O)(C)C,
317,RGJOEKWQDUBAIZ-UHFFFAOYSA-N,NAA50,SCCNC(=O)CCNC(=O)C(O)C(COP(OP(OCC1OC(n2c3ncnc(N)c3nc2)C(O)C1OP(O)(O)=O)(O)=O)(O)=O)(C)C,
317,RGJOEKWQDUBAIZ-UHFFFAOYSA-N,NAT2,SCCNC(=O)CCNC(=O)C(O)C(COP(OP(OCC1OC(n2c3ncnc(N)c3nc2)C(O)C1OP(O)(O)=O)(O)=O)(O)=O)(C)C,
317,RGJOEKWQDUBAIZ-UHFFFAOYSA-N,OXCT1,SCCNC(=O)CCNC(=O)C(O)C(COP(OP(OCC1OC(n2c3ncnc(N)c3nc2)C(O)C1OP(O)(O)=O)(O)=O)(O)=O)(C)C,
317,RGJOEKWQDUBAIZ-UHFFFAOYSA-N,OXCT2,SCCNC(=O)CCNC(=O)C(O)C(COP(OP(OCC1OC(n2c3ncnc(N)c3nc2)C(O)C1OP(O)(O)=O)(O)=O)(O)=O)(C)C,
317,RGJOEKWQDUBAIZ-UHFFFAOYSA-N,RBBP4,SCCNC(=O)CCNC(=O)C(O)C(COP(OP(OCC1OC(n2c3ncnc(N)c3nc2)C(O)C1OP(O)(O)=O)(O)=O)(O)=O)(C)C,
317,RGJOEKWQDUBAIZ-UHFFFAOYSA-N,RBBP7,SCCNC(=O)CCNC(=O)C(O)C(COP(OP(OCC1OC(n2c3ncnc(N)c3nc2)C(O)C1OP(O)(O)=O)(O)=O)(O)=O)(C)C,
317,RGJOEKWQDUBAIZ-UHFFFAOYSA-N,SAT1,SCCNC(=O)CCNC(=O)C(O)C(COP(OP(OCC1OC(n2c3ncnc(N)c3nc2)C(O)C1OP(O)(O)=O)(O)=O)(O)=O)(C)C,
317,RGJOEKWQDUBAIZ-UHFFFAOYSA-N,SCP2,SCCNC(=O)CCNC(=O)C(O)C(COP(OP(OCC1OC(n2c3ncnc(N)c3nc2)C(O)C1OP(O)(O)=O)(O)=O)(O)=O)(C)C,
320,YOOVTUPUBVHMPG-UHFFFAOYSA-N,ADA,O1C(CO)C(O)C(O)C1n1c2NC=NCC(O)c2nc1,
320,YOOVTUPUBVHMPG-UHFFFAOYSA-N,ADAL,O1C(CO)C(O)C(O)C1n1c2NC=NCC(O)c2nc1,
320,YOOVTUPUBVHMPG-UHFFFAOYSA-N,CECR1,O1C(CO)C(O)C(O)C1n1c2NC=NCC(O)c2nc1,
321,NIUVHXTXUXOFEB-UHFFFAOYSA-N,UROD,OC(=O)CCc1c2[nH]c(Cc3[nH]c(Cc4[nH]c(Cc5[nH]c(C2)c(CCC(O)=O)c5C)c(C)c4CCC(O)=O)c(C)c3CCC(O)=O)c1C,
323,ZYGHJZDHTFUPRJ-UHFFFAOYSA-N,AKR1C1,O=c1ccc2c(o1)cccc2,
323,ZYGHJZDHTFUPRJ-UHFFFAOYSA-N,ALOX5,O=c1ccc2c(o1)cccc2,
323,ZYGHJZDHTFUPRJ-UHFFFAOYSA-N,AZIN1,O=c1ccc2c(o1)cccc2,
323,ZYGHJZDHTFUPRJ-UHFFFAOYSA-N,BAX,O=c1ccc2c(o1)cccc2,
323,ZYGHJZDHTFUPRJ-UHFFFAOYSA-N,CA1,O=c1ccc2c(o1)cccc2,
323,ZYGHJZDHTFUPRJ-UHFFFAOYSA-N,CA12,O=c1ccc2c(o1)cccc2,
323,ZYGHJZDHTFUPRJ-UHFFFAOYSA-N,CA14,O=c1ccc2c(o1)cccc2,
323,ZYGHJZDHTFUPRJ-UHFFFAOYSA-N,CA2,O=c1ccc2c(o1)cccc2,
323,ZYGHJZDHTFUPRJ-UHFFFAOYSA-N,CA3,O=c1ccc2c(o1)cccc2,
323,ZYGHJZDHTFUPRJ-UHFFFAOYSA-N,CA4,O=c1ccc2c(o1)cccc2,
323,ZYGHJZDHTFUPRJ-UHFFFAOYSA-N,CA5A,O=c1ccc2c(o1)cccc2,
323,ZYGHJZDHTFUPRJ-UHFFFAOYSA-N,CA5B,O=c1ccc2c(o1)cccc2,
323,ZYGHJZDHTFUPRJ-UHFFFAOYSA-N,CA6,O=c1ccc2c(o1)cccc2,
323,ZYGHJZDHTFUPRJ-UHFFFAOYSA-N,CA7,O=c1ccc2c(o1)cccc2,
323,ZYGHJZDHTFUPRJ-UHFFFAOYSA-N,CA9,O=c1ccc2c(o1)cccc2,
323,ZYGHJZDHTFUPRJ-UHFFFAOYSA-N,CYP2A6,O=c1ccc2c(o1)cccc2,
323,ZYGHJZDHTFUPRJ-UHFFFAOYSA-N,CYP3A4,O=c1ccc2c(o1)cccc2,
323,ZYGHJZDHTFUPRJ-UHFFFAOYSA-N,FAS,O=c1ccc2c(o1)cccc2,
323,ZYGHJZDHTFUPRJ-UHFFFAOYSA-N,GCLC,O=c1ccc2c(o1)cccc2,
323,ZYGHJZDHTFUPRJ-UHFFFAOYSA-N,GGT5,O=c1ccc2c(o1)cccc2,
323,ZYGHJZDHTFUPRJ-UHFFFAOYSA-N,GSTA2,O=c1ccc2c(o1)cccc2,
323,ZYGHJZDHTFUPRJ-UHFFFAOYSA-N,GSTP1,O=c1ccc2c(o1)cccc2,
323,ZYGHJZDHTFUPRJ-UHFFFAOYSA-N,LMNA,O=c1ccc2c(o1)cccc2,
323,ZYGHJZDHTFUPRJ-UHFFFAOYSA-N,LTF,O=c1ccc2c(o1)cccc2,
323,ZYGHJZDHTFUPRJ-UHFFFAOYSA-N,TF,O=c1ccc2c(o1)cccc2,
323,ZYGHJZDHTFUPRJ-UHFFFAOYSA-N,XDH,O=c1ccc2c(o1)cccc2,
335,QWVGKYWNOKOFNN-UHFFFAOYSA-N,PTGS1,Oc1ccccc1C,
335,QWVGKYWNOKOFNN-UHFFFAOYSA-N,PTGS2,Oc1ccccc1C,
338,YGSDEFSMJLZEOE-UHFFFAOYSA-N,AKR1C1,OC(=O)c1ccccc1O,
338,YGSDEFSMJLZEOE-UHFFFAOYSA-N,ALB,OC(=O)c1ccccc1O,
338,YGSDEFSMJLZEOE-UHFFFAOYSA-N,ALOX5,OC(=O)c1ccccc1O,
338,YGSDEFSMJLZEOE-UHFFFAOYSA-N,AOC3,OC(=O)c1ccccc1O,
338,YGSDEFSMJLZEOE-UHFFFAOYSA-N,AOX1,OC(=O)c1ccccc1O,
338,YGSDEFSMJLZEOE-UHFFFAOYSA-N,APOA1,OC(=O)c1ccccc1O,
338,YGSDEFSMJLZEOE-UHFFFAOYSA-N,CA1,OC(=O)c1ccccc1O,
338,YGSDEFSMJLZEOE-UHFFFAOYSA-N,CA12,OC(=O)c1ccccc1O,
338,YGSDEFSMJLZEOE-UHFFFAOYSA-N,CA2,OC(=O)c1ccccc1O,
338,YGSDEFSMJLZEOE-UHFFFAOYSA-N,CAT,OC(=O)c1ccccc1O,
338,YGSDEFSMJLZEOE-UHFFFAOYSA-N,EDN1,OC(=O)c1ccccc1O,
338,YGSDEFSMJLZEOE-UHFFFAOYSA-N,FASN,OC(=O)c1ccccc1O,
338,YGSDEFSMJLZEOE-UHFFFAOYSA-N,FECH,OC(=O)c1ccccc1O,
338,YGSDEFSMJLZEOE-UHFFFAOYSA-N,FTMT,OC(=O)c1ccccc1O,
338,YGSDEFSMJLZEOE-UHFFFAOYSA-N,GHDC,OC(=O)c1ccccc1O,
338,YGSDEFSMJLZEOE-UHFFFAOYSA-N,GLIPR2,OC(=O)c1ccccc1O,
338,YGSDEFSMJLZEOE-UHFFFAOYSA-N,GSTP1,OC(=O)c1ccccc1O,
338,YGSDEFSMJLZEOE-UHFFFAOYSA-N,GUSB,OC(=O)c1ccccc1O,
338,YGSDEFSMJLZEOE-UHFFFAOYSA-N,HEY1,OC(=O)c1ccccc1O,
338,YGSDEFSMJLZEOE-UHFFFAOYSA-N,IFNB1,OC(=O)c1ccccc1O,
338,YGSDEFSMJLZEOE-UHFFFAOYSA-N,IL4,OC(=O)c1ccccc1O,
338,YGSDEFSMJLZEOE-UHFFFAOYSA-N,LRP1,OC(=O)c1ccccc1O,
338,YGSDEFSMJLZEOE-UHFFFAOYSA-N,NCF1,OC(=O)c1ccccc1O,
338,YGSDEFSMJLZEOE-UHFFFAOYSA-N,NFKB1,OC(=O)c1ccccc1O,
338,YGSDEFSMJLZEOE-UHFFFAOYSA-N,PFKM,OC(=O)c1ccccc1O,
338,YGSDEFSMJLZEOE-UHFFFAOYSA-N,PKLR,OC(=O)c1ccccc1O,
338,YGSDEFSMJLZEOE-UHFFFAOYSA-N,PLG,OC(=O)c1ccccc1O,
338,YGSDEFSMJLZEOE-UHFFFAOYSA-N,PON1,OC(=O)c1ccccc1O,
338,YGSDEFSMJLZEOE-UHFFFAOYSA-N,PTGIS,OC(=O)c1ccccc1O,
338,YGSDEFSMJLZEOE-UHFFFAOYSA-N,RELA,OC(=O)c1ccccc1O,
338,YGSDEFSMJLZEOE-UHFFFAOYSA-N,SOD1,OC(=O)c1ccccc1O,
338,YGSDEFSMJLZEOE-UHFFFAOYSA-N,TAT,OC(=O)c1ccccc1O,
338,YGSDEFSMJLZEOE-UHFFFAOYSA-N,TERF1,OC(=O)c1ccccc1O,
338,YGSDEFSMJLZEOE-UHFFFAOYSA-N,TPO,OC(=O)c1ccccc1O,
338,YGSDEFSMJLZEOE-UHFFFAOYSA-N,XDH,OC(=O)c1ccccc1O,
341,COVFEVWNJUOYRL-UHFFFAOYSA-N,POLA1,O=C(c1cc(O)c(c(c1)O)O)Oc1cc(cc(c1O)O)C(=O)O,
341,COVFEVWNJUOYRL-UHFFFAOYSA-N,POLB,O=C(c1cc(O)c(c(c1)O)O)Oc1cc(cc(c1O)O)C(=O)O,
342,RLSSMJSEOOYNOY-UHFFFAOYSA-N,ACHE,Cc1cccc(c1)O,
342,RLSSMJSEOOYNOY-UHFFFAOYSA-N,INS,Cc1cccc(c1)O,
342,RLSSMJSEOOYNOY-UHFFFAOYSA-N,INS-IGF2,Cc1cccc(c1)O,
356,TVMXDCGIABBOFY-UHFFFAOYSA-N,GLTP,C(CCCC)CCC,
356,TVMXDCGIABBOFY-UHFFFAOYSA-N,HSD11B1L,C(CCCC)CCC,
356,TVMXDCGIABBOFY-UHFFFAOYSA-N,PRKACA,C(CCCC)CCC,
356,TVMXDCGIABBOFY-UHFFFAOYSA-N,PRKACB,C(CCCC)CCC,
364,PECYZEOJVXMISF-UHFFFAOYSA-N,OGT,OC(=O)C(N)CN,
366,HXVZGASCDAGAPS-UHFFFAOYSA-N,ALDH1A1,CC(=O)Oc1ccc2c(c1)oc(=O)cc2C,
370,LNTHITQWFMADLM-UHFFFAOYSA-N,CHEK1,OC(=O)c1cc(O)c(c(c1)O)O,
370,LNTHITQWFMADLM-UHFFFAOYSA-N,HIF1A,OC(=O)c1cc(O)c(c(c1)O)O,
370,LNTHITQWFMADLM-UHFFFAOYSA-N,PARP1,OC(=O)c1cc(O)c(c(c1)O)O,
370,LNTHITQWFMADLM-UHFFFAOYSA-N,SRC,OC(=O)c1cc(O)c(c(c1)O)O,
370,LNTHITQWFMADLM-UHFFFAOYSA-N,STAT3,OC(=O)c1cc(O)c(c(c1)O)O,
370,LNTHITQWFMADLM-UHFFFAOYSA-N,TP53,OC(=O)c1cc(O)c(c(c1)O)O,
370,LNTHITQWFMADLM-UHFFFAOYSA-N,AKR1C3,OC(=O)c1cc(O)c(c(c1)O)O,
370,LNTHITQWFMADLM-UHFFFAOYSA-N,ALDH1A1,OC(=O)c1cc(O)c(c(c1)O)O,
370,LNTHITQWFMADLM-UHFFFAOYSA-N,ATMIN,OC(=O)c1cc(O)c(c(c1)O)O,
370,LNTHITQWFMADLM-UHFFFAOYSA-N,BAD,OC(=O)c1cc(O)c(c(c1)O)O,
370,LNTHITQWFMADLM-UHFFFAOYSA-N,BAX,OC(=O)c1cc(O)c(c(c1)O)O,
370,LNTHITQWFMADLM-UHFFFAOYSA-N,CA1,OC(=O)c1cc(O)c(c(c1)O)O,
370,LNTHITQWFMADLM-UHFFFAOYSA-N,CA12,OC(=O)c1cc(O)c(c(c1)O)O,
370,LNTHITQWFMADLM-UHFFFAOYSA-N,CA14,OC(=O)c1cc(O)c(c(c1)O)O,
370,LNTHITQWFMADLM-UHFFFAOYSA-N,CA2,OC(=O)c1cc(O)c(c(c1)O)O,
370,LNTHITQWFMADLM-UHFFFAOYSA-N,CA3,OC(=O)c1cc(O)c(c(c1)O)O,
370,LNTHITQWFMADLM-UHFFFAOYSA-N,CA4,OC(=O)c1cc(O)c(c(c1)O)O,
370,LNTHITQWFMADLM-UHFFFAOYSA-N,CA5A,OC(=O)c1cc(O)c(c(c1)O)O,
370,LNTHITQWFMADLM-UHFFFAOYSA-N,CA5B,OC(=O)c1cc(O)c(c(c1)O)O,
370,LNTHITQWFMADLM-UHFFFAOYSA-N,CA6,OC(=O)c1cc(O)c(c(c1)O)O,
370,LNTHITQWFMADLM-UHFFFAOYSA-N,CA7,OC(=O)c1cc(O)c(c(c1)O)O,
370,LNTHITQWFMADLM-UHFFFAOYSA-N,CA9,OC(=O)c1cc(O)c(c(c1)O)O,
370,LNTHITQWFMADLM-UHFFFAOYSA-N,CASP3,OC(=O)c1cc(O)c(c(c1)O)O,
370,LNTHITQWFMADLM-UHFFFAOYSA-N,CASP9,OC(=O)c1cc(O)c(c(c1)O)O,
370,LNTHITQWFMADLM-UHFFFAOYSA-N,CCNB1,OC(=O)c1cc(O)c(c(c1)O)O,
370,LNTHITQWFMADLM-UHFFFAOYSA-N,CDC25A,OC(=O)c1cc(O)c(c(c1)O)O,
370,LNTHITQWFMADLM-UHFFFAOYSA-N,CDC25C,OC(=O)c1cc(O)c(c(c1)O)O,
370,LNTHITQWFMADLM-UHFFFAOYSA-N,CDK1,OC(=O)c1cc(O)c(c(c1)O)O,
370,LNTHITQWFMADLM-UHFFFAOYSA-N,CHEK2,OC(=O)c1cc(O)c(c(c1)O)O,
370,LNTHITQWFMADLM-UHFFFAOYSA-N,CPT1A,OC(=O)c1cc(O)c(c(c1)O)O,
370,LNTHITQWFMADLM-UHFFFAOYSA-N,CYP17A1,OC(=O)c1cc(O)c(c(c1)O)O,
370,LNTHITQWFMADLM-UHFFFAOYSA-N,CYP3A43,OC(=O)c1cc(O)c(c(c1)O)O,
370,LNTHITQWFMADLM-UHFFFAOYSA-N,EPHX1,OC(=O)c1cc(O)c(c(c1)O)O,
370,LNTHITQWFMADLM-UHFFFAOYSA-N,FASLG,OC(=O)c1cc(O)c(c(c1)O)O,
370,LNTHITQWFMADLM-UHFFFAOYSA-N,FASN,OC(=O)c1cc(O)c(c(c1)O)O,
370,LNTHITQWFMADLM-UHFFFAOYSA-N,FUT7,OC(=O)c1cc(O)c(c(c1)O)O,
370,LNTHITQWFMADLM-UHFFFAOYSA-N,GCLC,OC(=O)c1cc(O)c(c(c1)O)O,
370,LNTHITQWFMADLM-UHFFFAOYSA-N,HMOX1,OC(=O)c1cc(O)c(c(c1)O)O,
370,LNTHITQWFMADLM-UHFFFAOYSA-N,HPGD,OC(=O)c1cc(O)c(c(c1)O)O,
370,LNTHITQWFMADLM-UHFFFAOYSA-N,HSD17B10,OC(=O)c1cc(O)c(c(c1)O)O,
370,LNTHITQWFMADLM-UHFFFAOYSA-N,IL6,OC(=O)c1cc(O)c(c(c1)O)O,
370,LNTHITQWFMADLM-UHFFFAOYSA-N,KDM4E,OC(=O)c1cc(O)c(c(c1)O)O,
370,LNTHITQWFMADLM-UHFFFAOYSA-N,LMNA,OC(=O)c1cc(O)c(c(c1)O)O,
370,LNTHITQWFMADLM-UHFFFAOYSA-N,MAPK1,OC(=O)c1cc(O)c(c(c1)O)O,
370,LNTHITQWFMADLM-UHFFFAOYSA-N,MAPK14,OC(=O)c1cc(O)c(c(c1)O)O,
370,LNTHITQWFMADLM-UHFFFAOYSA-N,MAPK8,OC(=O)c1cc(O)c(c(c1)O)O,
370,LNTHITQWFMADLM-UHFFFAOYSA-N,MAPT,OC(=O)c1cc(O)c(c(c1)O)O,
370,LNTHITQWFMADLM-UHFFFAOYSA-N,MGST1,OC(=O)c1cc(O)c(c(c1)O)O,
370,LNTHITQWFMADLM-UHFFFAOYSA-N,NFE2L2,OC(=O)c1cc(O)c(c(c1)O)O,
370,LNTHITQWFMADLM-UHFFFAOYSA-N,NOS2,OC(=O)c1cc(O)c(c(c1)O)O,
370,LNTHITQWFMADLM-UHFFFAOYSA-N,RLN3,OC(=O)c1cc(O)c(c(c1)O)O,
370,LNTHITQWFMADLM-UHFFFAOYSA-N,ROS1,OC(=O)c1cc(O)c(c(c1)O)O,
370,LNTHITQWFMADLM-UHFFFAOYSA-N,SERPINE1,OC(=O)c1cc(O)c(c(c1)O)O,
370,LNTHITQWFMADLM-UHFFFAOYSA-N,SULT1A1,OC(=O)c1cc(O)c(c(c1)O)O,
370,LNTHITQWFMADLM-UHFFFAOYSA-N,TDP1,OC(=O)c1cc(O)c(c(c1)O)O,
379,WWZKQHOCKIZLMA-UHFFFAOYSA-N,CXCL8,CCCCCCCC(=O)O,
379,WWZKQHOCKIZLMA-UHFFFAOYSA-N,EP300,CCCCCCCC(=O)O,
379,WWZKQHOCKIZLMA-UHFFFAOYSA-N,FABP1,CCCCCCCC(=O)O,
379,WWZKQHOCKIZLMA-UHFFFAOYSA-N,GLTP,CCCCCCCC(=O)O,
379,WWZKQHOCKIZLMA-UHFFFAOYSA-N,ISYNA1,CCCCCCCC(=O)O,
379,WWZKQHOCKIZLMA-UHFFFAOYSA-N,LMNA,CCCCCCCC(=O)O,
379,WWZKQHOCKIZLMA-UHFFFAOYSA-N,PAEP,CCCCCCCC(=O)O,
379,WWZKQHOCKIZLMA-UHFFFAOYSA-N,PPARA,CCCCCCCC(=O)O,
379,WWZKQHOCKIZLMA-UHFFFAOYSA-N,RBP2,CCCCCCCC(=O)O,
379,WWZKQHOCKIZLMA-UHFFFAOYSA-N,TSHR,CCCCCCCC(=O)O,
389,AHLPHDHHMVZTML-UHFFFAOYSA-N,ARG1,OC(=O)C(N)CCCN,
389,AHLPHDHHMVZTML-UHFFFAOYSA-N,CAD,OC(=O)C(N)CCCN,
389,AHLPHDHHMVZTML-UHFFFAOYSA-N,CPS1,OC(=O)C(N)CCCN,
389,AHLPHDHHMVZTML-UHFFFAOYSA-N,GATM,OC(=O)C(N)CCCN,
390,HDYANYHVCAPMJV-UHFFFAOYSA-N,B3GAT3,P(OC1OC(C(O)=O)C(O)C(O)C1O)(OP(OCC1OC(N2C=CC(=O)NC2=O)C(O)C1O)(O)=O)(O)=O,
390,HDYANYHVCAPMJV-UHFFFAOYSA-N,UAP1,P(OC1OC(C(O)=O)C(O)C(O)C1O)(OP(OCC1OC(N2C=CC(=O)NC2=O)C(O)C1O)(O)=O)(O)=O,
390,HDYANYHVCAPMJV-UHFFFAOYSA-N,UAP1L1,P(OC1OC(C(O)=O)C(O)C(O)C1O)(OP(OCC1OC(N2C=CC(=O)NC2=O)C(O)C1O)(O)=O)(O)=O,
390,HDYANYHVCAPMJV-UHFFFAOYSA-N,UGDH,P(OC1OC(C(O)=O)C(O)C(O)C1O)(OP(OCC1OC(N2C=CC(=O)NC2=O)C(O)C1O)(O)=O)(O)=O,
390,HDYANYHVCAPMJV-UHFFFAOYSA-N,UXS1,P(OC1OC(C(O)=O)C(O)C(O)C1O)(OP(OCC1OC(N2C=CC(=O)NC2=O)C(O)C1O)(O)=O)(O)=O,
401,DYDCUQKUCUHJBH-UHFFFAOYSA-N,BLM,NC1CONC1=O,
401,DYDCUQKUCUHJBH-UHFFFAOYSA-N,GRIN1,NC1CONC1=O,
402,RWSOTUBLDIXVET-UHFFFAOYSA-N,GSTP1,S,
