Pubchem_CID,Inchikey,Targets ,Canonical_smiles,
72,YQUVCSBJEUQKSH-UHFFFAOYSA-N,CA2,OC(=O)c1ccc(c(c1)O)O,
72,YQUVCSBJEUQKSH-UHFFFAOYSA-N,CA4,OC(=O)c1ccc(c(c1)O)O,
72,YQUVCSBJEUQKSH-UHFFFAOYSA-N,CA6,OC(=O)c1ccc(c(c1)O)O,
72,YQUVCSBJEUQKSH-UHFFFAOYSA-N,CA7,OC(=O)c1ccc(c(c1)O)O,
72,YQUVCSBJEUQKSH-UHFFFAOYSA-N,CA9,OC(=O)c1ccc(c(c1)O)O,
72,YQUVCSBJEUQKSH-UHFFFAOYSA-N,CP,OC(=O)c1ccc(c(c1)O)O,
72,YQUVCSBJEUQKSH-UHFFFAOYSA-N,GAA,OC(=O)c1ccc(c(c1)O)O,
72,YQUVCSBJEUQKSH-UHFFFAOYSA-N,HMOX1,OC(=O)c1ccc(c(c1)O)O,
72,YQUVCSBJEUQKSH-UHFFFAOYSA-N,HNF1A,OC(=O)c1ccc(c(c1)O)O,
72,YQUVCSBJEUQKSH-UHFFFAOYSA-N,HNF4A,OC(=O)c1ccc(c(c1)O)O,
72,YQUVCSBJEUQKSH-UHFFFAOYSA-N,MAPT,OC(=O)c1ccc(c(c1)O)O,
72,YQUVCSBJEUQKSH-UHFFFAOYSA-N,MGAM,OC(=O)c1ccc(c(c1)O)O,
72,YQUVCSBJEUQKSH-UHFFFAOYSA-N,NCL,OC(=O)c1ccc(c(c1)O)O,
72,YQUVCSBJEUQKSH-UHFFFAOYSA-N,NFKB1,OC(=O)c1ccc(c(c1)O)O,
72,YQUVCSBJEUQKSH-UHFFFAOYSA-N,NOS2,OC(=O)c1ccc(c(c1)O)O,
72,YQUVCSBJEUQKSH-UHFFFAOYSA-N,PRKCA,OC(=O)c1ccc(c(c1)O)O,
72,YQUVCSBJEUQKSH-UHFFFAOYSA-N,PRKCB,OC(=O)c1ccc(c(c1)O)O,
72,YQUVCSBJEUQKSH-UHFFFAOYSA-N,PRKCG,OC(=O)c1ccc(c(c1)O)O,
72,YQUVCSBJEUQKSH-UHFFFAOYSA-N,PRKCZ,OC(=O)c1ccc(c(c1)O)O,
72,YQUVCSBJEUQKSH-UHFFFAOYSA-N,RELA,OC(=O)c1ccc(c(c1)O)O,
73,WHTCPDAXWFLDIH-UHFFFAOYSA-N,HS3ST1,OC1C(OP(=O)(O)O)C(OC1n1cnc2c1ncnc2N)COP(=O)(O)O,
73,WHTCPDAXWFLDIH-UHFFFAOYSA-N,HS3ST3A1,OC1C(OP(=O)(O)O)C(OC1n1cnc2c1ncnc2N)COP(=O)(O)O,
73,WHTCPDAXWFLDIH-UHFFFAOYSA-N,HS3ST5,OC1C(OP(=O)(O)O)C(OC1n1cnc2c1ncnc2N)COP(=O)(O)O,
73,WHTCPDAXWFLDIH-UHFFFAOYSA-N,NDST1,OC1C(OP(=O)(O)O)C(OC1n1cnc2c1ncnc2N)COP(=O)(O)O,
73,WHTCPDAXWFLDIH-UHFFFAOYSA-N,P2RY1,OC1C(OP(=O)(O)O)C(OC1n1cnc2c1ncnc2N)COP(=O)(O)O,
73,WHTCPDAXWFLDIH-UHFFFAOYSA-N,RNASE1,OC1C(OP(=O)(O)O)C(OC1n1cnc2c1ncnc2N)COP(=O)(O)O,
73,WHTCPDAXWFLDIH-UHFFFAOYSA-N,RNASE2,OC1C(OP(=O)(O)O)C(OC1n1cnc2c1ncnc2N)COP(=O)(O)O,
